+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; ukf1|b2v_inst9|b2v_inst8|delay_loop[17].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[16].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[15].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[14].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[13].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[12].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[11].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[10].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[9].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[8].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[7].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[6].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[5].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[4].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[3].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[2].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[1].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8|delay_loop[0].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst8                                                                                                                                                  ; 34    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[6].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[5].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[4].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[3].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[2].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[1].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6|delay_loop[0].ao_delay                                                                                                                           ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst6                                                                                                                                                  ; 33    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[40].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[39].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; ukf1|b2v_inst9|b2v_inst5|delay_loop[38].ao_delay                                                                                                                          ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
